Size;Selection - Random 0-5;Selection - Random 0-4100;Selection - Almost sorted;Selection - Reverse sorted;Bubble - Random 0-5;Bubble - Random 0-4100;Bubble - Almost sorted;Bubble - Reverse sorted;Bubble 1 Iverson's condition - Random 0-5;Bubble 1 Iverson's condition - Random 0-4100;Bubble 1 Iverson's condition - Almost sorted;Bubble 1 Iverson's condition - Reverse sorted;Bubble 1 + 2 Iverson's conditions - Random 0-5;Bubble 1 + 2 Iverson's conditions - Random 0-4100;Bubble 1 + 2 Iverson's conditions - Almost sorted;Bubble 1 + 2 Iverson's conditions - Reverse sorted;Insertion - Random 0-5;Insertion - Random 0-4100;Insertion - Almost sorted;Insertion - Reverse sorted;Binary insertion - Random 0-5;Binary insertion - Random 0-4100;Binary insertion - Almost sorted;Binary insertion - Reverse sorted;Count - Random 0-5;Count - Random 0-4100;Count - Almost sorted;Count - Reverse sorted;Radix - Random 0-5;Radix - Random 0-4100;Radix - Almost sorted;Radix - Reverse sorted;Merge - Random 0-5;Merge - Random 0-4100;Merge - Almost sorted;Merge - Reverse sorted;Quick - Random 0-5;Quick - Random 0-4100;Quick - Almost sorted;Quick - Reverse sorted;Heap - Random 0-5;Heap - Random 0-4100;Heap - Almost sorted;Heap - Reverse sorted;Shell (Ciura sequence) - Random 0-5;Shell (Ciura sequence) - Random 0-4100;Shell (Ciura sequence) - Almost sorted;Shell (Ciura sequence) - Reverse sorted;Shell (Shell sequence) - Random 0-5;Shell (Shell sequence) - Random 0-4100;Shell (Shell sequence) - Almost sorted;Shell (Shell sequence) - Reverse sorted
50;14844;14988;14874;15958;25993;27157;21613;33817;24933;27335;10113;34956;21864;24393;8773;32493;9959;11511;4119;20391;7956;8449;6274;10865;87476;87476;87476;87476;2289;6134;6134;6134;7045;7053;6921;6489;3120;3172;11736;13512;10090;11351;10406;12501;4964;7050;5139;5510;5771;7101;5449;5715
100;57189;57573;57399;61933;99430;105418;86470;135142;98406;107181;85170;139906;85443;92332;61950;129993;33175;41159;15895;80791;21840;24297;16764;35900;88826;88826;88826;88826;4239;11334;11334;11334;16236;16442;15981;14754;7688;7832;14256;52012;24022;27261;25327;29592;10065;16680;13957;12739;12869;17972;15326;14213
150;127100;127724;127392;137908;219967;236275;192451;303967;218643;240555;188013;314856;187844;208481;149080;292493;69191;90935;32503;181191;40217;47084;29116;74011;90176;90176;90176;90176;6189;16534;16534;16534;26034;26834;26036;23671;14188;13856;17776;115512;39041;44478;41721;48633;17109;26580;24242;20973;19438;29770;26235;24527
200;224447;225407;224911;243883;390004;420976;338044;540292;389616;429401;308659;559806;338687;375860;236585;519993;121207;162503;51927;321591;64042;77139;42658;125086;91526;91526;91526;91526;8139;21734;21734;21734;36806;37427;36484;33034;22380;19104;28272;204012;54320;63306;58628;68706;23639;40117;34902;28035;27885;45581;36621;34101
250;349314;350622;349850;379858;625033;663085;527245;844117;619871;677981;523129;874756;537924;599553;423133;812493;209879;260615;79495;501991;99622;115639;59142;188661;92876;92876;92876;92876;10089;26934;26934;26934;47868;48509;47633;42023;33072;25388;35424;317512;70663;82640;77434;89016;32416;52093;46045;38387;35146;57826;47403;46871
300;501683;503415;501045;545833;897286;947890;756694;1215442;892047;967329;710605;1259706;769825;846768;557425;1169993;298183;365655;110727;722391;135388;156576;77069;265424;94226;94226;94226;94226;12039;32134;32134;32134;59069;60419;58646;52618;43324;29708;36612;456012;89560;102847;95510;111155;37770;63684;55592;45379;47806;74700;61372;57585
